CID,Vegetation,Surface_Temperature___C_
1,0.4184228,33.1062546
1,0.2678836,38.1580887
1,0.0956994,44.9086838
1,0.4079947,27.2511978
1,0.0864777,27.0939713
1,0.1857223,42.4674301
1,0.4528247,37.6123352
1,0.3507513,37.7308426
1,0.5066249,33.2224808
1,0.3946895,34.4051132
1,0.4200280,33.7488480
1,0.4270708,32.2278366
1,0.4859278,32.9456100
1,0.3845809,33.9573441
1,0.2856200,37.8709793
1,0.4207666,35.7962418
1,0.4269619,32.3611374
1,0.4982978,33.5164261
1,0.2641045,40.6942673
1,0.4652932,35.6458511
1,0.0744765,23.3478165
1,0.3832001,34.0017776
1,0.2121935,40.0209122
1,0.3623682,25.9967728
1,0.4847113,34.8084335
1,0.3960811,34.7537460
1,0.1952727,31.9851456
1,0.3459930,36.1312027
1,0.4362489,34.6648788
1,0.3675509,46.0119362
1,0.3931815,39.8910294
1,0.2396841,36.9788742
1,0.2919960,49.5606155
1,0.4219842,33.8069534
1,0.4329408,34.7161484
1,0.3857216,37.0609055
1,0.3059922,40.9711227
1,0.0354558,46.3442459
1,0.4809872,33.2874222
1,0.4484988,32.2278366
1,0.4192216,32.2825241
1,0.4836363,32.8054733
1,0.4636051,32.8806686
1,0.1786791,23.3238907
1,0.1690162,23.7408829
1,0.3121110,38.3905258
1,0.1843557,28.4714279
1,0.1348176,26.4411240
1,0.2204510,29.9787674
1,0.3649459,35.3621597
1,0.0591464,45.5102615
1,0.2636702,36.7908859
1,0.5078853,34.0496292
1,0.4498529,33.3591995
1,0.4038338,33.8411331
1,0.4293537,34.7879257
1,0.4443208,34.9930038
1,0.4025211,34.2991562
1,0.0120768,45.3188400
1,0.3649468,34.6477890
1,0.3976863,36.9891281
1,0.3661098,31.5032120
1,0.4424055,36.9515305
1,0.4079016,32.4500046
1,0.4802150,35.8680191
1,0.3440017,37.8197098
1,0.2093356,37.4943542
1,0.1741568,29.0353928
1,0.4378264,38.2503738
1,0.3688669,36.7293625
1,0.4244650,33.8377151
1,0.4063666,33.2976761
1,0.4414835,35.1365585
1,0.4342467,33.3660355
1,0.4484465,35.1673203
1,0.3594143,48.8146095
1,0.1053204,45.5444412
1,0.3712186,40.4550095
1,0.3396673,36.5140305
1,0.3962719,35.1433945
1,0.3564530,39.4090958
1,0.3834511,41.7982864
1,0.4569673,34.5520859
1,0.4780625,32.3577194
1,0.4477503,36.6028976
1,0.3832960,35.7176285
1,0.3535111,37.7240067
1,0.2642696,42.5605087
1,0.0979766,49.0000534
1,0.2127948,42.2255325
1,0.2936643,38.4247055
1,0.4672885,34.8904648
1,0.3213226,37.1224289
1,0.4504775,35.7210464
1,0.4153683,35.7107925
1,0.3556522,37.9530106
1,0.3794946,31.7903214
1,0.4999692,36.1243668
1,0.1735187,36.4935226
1,0.3543658,37.2967606
1,0.3954042,31.6330948
1,0.2653353,50.1143265
1,0.2083050,46.6003876
